model,primary_key,attr,en,ar
Offer,757,homepage_referral_banner,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/97ab55e7c44e115b20767dd95fbed35c6d13e388.jpeg?1634108064,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/97ab55e7c44e115b20767dd95fbed35c6d13e388.jpeg?1634108064
Offer,757,referral_page_banner,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/fa93b24d5c49bb8e8567f8d675b47e8773a260a8.jpeg?1634108146,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/fa93b24d5c49bb8e8567f8d675b47e8773a260a8.jpeg?1634108146
Offer,758,homepage_referral_banner,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/5fbd37e729eb815196ddb0795c17901edfbf0175.png?1635515935,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/73e8c87d90b71a6cb593e9d0254e8ffde23f1230.png?1635515987
Offer,758,referral_page_banner,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/5fbd37e729eb815196ddb0795c17901edfbf0175.png?1635515935,https://s3-ap-southeast-1.amazonaws.com/zoomcar/images/original/73e8c87d90b71a6cb593e9d0254e8ffde23f1230.png?1635515987
