model,primary_key,attr,en,ar,id,fil,vi
Offer,4375,tnc,"<ul>
              <li>Share referral code with friends</li>
              <li>Friend visits Amigo <a href='https://www.zoomcar.com/eg/host'>landing page</a> and clicks start earning </li>
              <li>Friend signs-up and enters the referral code while filling the interest form</li>
              <li>You and friend both get referral benefit once car is shared on Amigo platform!</li>
            </ul>
            <h2>TERMS AND CONDITIONS</h2>
            <ul><li>Referral code must be applied at the time of registering for the programme</li> <li>Users will become eligible only after successful enrolment of their car on the Zoomcar platform</li> <li>Referrers would be eligible to get 1500 EGP & referred would be eligible to get 2500 EGP for every successful enrollment</li> <li>The referral bonuses will be disbursed as per the below mentioned schedule:
        <table><thead><tr><th>Milestone</th> <th>Referrer</th> <th>Referred</th></tr></thead> <tbody><tr><td>1st month</td> <td>₹3,750</td> <td>₹3,750</td></tr> <tr><td>2nd Month</td> <td>₹3,750</td> <td>₹3,750</td></tr></tbody></table></li> <li>Referral bonus for referrer and referred would get credited directly in their bank account along with weekly payout</li> <li>The car should not be registered in the name of the referrer &amp; all the documentation of the car should be in order, else he/she won't be eligible for the benefit</li> <li>Zoomcar reserves the right to suspend the account and revoke &amp; recover all the referral bonuses at any time in case of violations of the terms &amp; conditions of the agreement</li> <li>Credit amount will be based on the current live referral policy &amp; will not be based on past or future policies</li> <li>To avail referral benefit referee needs to complete atleast 1 successful listing per month</li> <li>Referred person can only avail referral bonus and will not be eligible for sign-up bonus</li></ul>","<ul>
              <li>شارك كود الترشيح مع أصدقائك</li>
              <li>يقوم صديقك بزيارة <a href='https://www.zoomcar.com/eg/host/ar'>موقع برنامج ملاك زووم كار</a> ثم يقوم بالضغط على ابدأ رحلة المكسب </li>
              <li>يقوم صديقك بالتسجيل ثم يقوم بإدخال كود الترشيح أثناء ملء نموذج الإشتراك</li>\n              <li>تحصل انت و صديقك على مكافأة الترشيح بمجرد عرض السيارة على منصة ملاك زووم كار!</li>\n            </ul>\n            <h2>الشروط والأحكام</h2>\n            <ul><li>يجب إدخال كود الترشيح عند التسجيل بالبرنامج</li> <li>يصبح المستخدمون مؤهلين للمكافأة فقط بعد نجاح تسجيل السيارة على منصة زووم كار</li> <li>يكون المرشحين مؤهلين لمكافأة قدرها ١٥٠٠ جنيه، ويكون المترشحين مؤهلين لمكافأة قدرها ٢٥٠٠ جنيه عن كل عملية اشتراك ناجحة</li> <li>سيتم صرف مكافآت الإحالة وفقًا للجدول المذكور أدناه:\n        <table><thead><tr><th>المدة</th> <th>المرشح</th> <th>المترشح</th></tr></thead> <tbody><tr><td>الشهر الأول</td><td>٧٥٠ جنيه</td> <td>١٢٥٠ جنيه</td></tr> <tr><td>الشهر الثاني</td> <td>٧٥٠ جنيه</td> <td>١٢٥٠ جنيه</td></tr></tbody></table></li> <li>يتم تحويل المكافأة للمرشح و المترشح إلى حسابهم البنكي مع المدفوعات الأسبوعية</li> <li>يجب ألا تكون السيارة مسجلة بإسم المترشح و يجب أن تكون كل الأوراق اللازمة مجهزة و إلا لن يكون مؤهلا للمكافأة</li> <li>زووم كار تمتلك الحق في تعليق الحساب وإلغاء واسترداد جميع مكافآت الترشيح بأي وقت في حالة مخالفة العميل لشروط وأحكام الاتفاقية</li> <li>يتم حساب مبلغ المكافأة حسب السياسة المعمول بها وقت الترشيح و ليس حسب أي سياسة ماضية أو مستقبلية</li> <li>للحصول على المكافأة، يجب أن يقوم المترشح بعرض واحد على الأقل ناجح للسيارة كل شهر</li> <li>يمكن للمترشح الاستفادة فقط من مكافأة الترشيح ولن يكون مؤهلاً للحصول على مكافأة الترحيب</li></ul>",,,
Offer,4375,app_tnc,"· Referral code must be applied at the time of registering for the programme

· Users would be eligible only after successful enrolment of their car on Zoomcar platform

· Referrers would be eligible to get 1500 EGP & referred would be eligible to get 2500 EGP for every successful enrolment

·The referral bonuses will be disbursed as per below mentioned schedule

  Milestone        Referrer         Referred

  1st month        750 EGP         EGP 1250

  2nd month        750 EGP         EGP 1250

· Referral bonus for referrer and referred would get credited directly in their bank account along with weekly payout 

· The car should not be registered in the name of the referrer & all the documentation of the car should be in order, else he/she won't be eligible for the benefit

· Zoomcar reserves the right to suspend the account and revoke & recover all the referral bonuses at any time in case of violations of the terms & conditions of the agreement

· Credit amount will be based on current live referral policy & will not be based on past or future policies

· To avail referral benefit, referred needs to complete at least 1 successful listing per month

· Referred person can only avail referral bonus and will not be eligible for sign up bonus
","· يجب إدخال كود الترشيح عند التسجيل بالبرنامج

· يصبح المستخدمون مؤهلين للمكافأة فقط بعد نجاح تسجيل السيارة على منصة زووم كار\n\n· يكون المرشحين مؤهلي لمكافأة قدرها ١٥٠٠ جنيه ويكون المترشحين مؤهلين لمكافأة قدرها ٢٥٠٠ جنيه عن كل عملية اشتراك ناجحة

· يتم تحويل المكافأة على النحو التالي كما هو مذكور بالجدول أدناه

  المدة        المرشح         المترشح

  الشهر الأول        ٧٥٠ جنيه         ١٢٥٠ جنيه

  الشهر الثاني        ٧٥٠ جنيه         ١٢٥٠ جنيه

· يتم تحويل المكافأة للمرشح و المترشح إلى حسابهم البنكي مع المدفوعات الأسبوعية 

· يجب ألا تكون السيارة مسجلة بإسم المترشح و يجب أن تكون كل الأوراق اللازمة مجهزة و إلا لن يكون مؤهلا للمكافأة

· زووم كار تمتلك الحق في تعليق الحساب وإلغاء واسترداد جميع مكافآت الترشيح بأي وقت في حالة مخالفة العميل لشروط وأحكام الاتفاقية

· يتم حساب مبلغ المكافأة حسب السياسة المعمول بها وقت الترشيح و ليس حسب أي سياسة ماضية أو مستقبلية

· للحصول على المكافأة، يجب أن يقوم المترشح بعرض واحد على الأقل ناجح للسيارة كل شهر

· يمكن للمترشح الاستفادة فقط من مكافأة الترشيح ولن يكون مؤهلاً للحصول على مكافأة الترحيب
",,,
